"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" 0.00133834183525828 0.0422036198154229 0.484209269404653 2.39517433333942 5.21635951162332 7.56528664528675 9.4974936196425 11.1752546842884 12.6402012567523 13.9040892485767
"2" 0.508037507737664 0 0 0 0 0 0 0 0 0
"3" 0 0.508037507737664 0 0 0 0 0 0 0 0
"4" 0 0 0.508037507737664 0 0 0 0 0 0 0
"5" 0 0 0 0.508037507737664 0 0 0 0 0 0
"6" 0 0 0 0 0.508037507737664 0 0 0 0 0
"7" 0 0 0 0 0 0.508037507737664 0 0 0 0
"8" 0 0 0 0 0 0 0.508037507737664 0 0 0
"9" 0 0 0 0 0 0 0 0.508037507737664 0 0
"10" 0 0 0 0 0 0 0 0 0.508037507737664 0
