"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12"
"1" 7.58337897937155e-06 0.00026501685137526 0.00390480981467495 0.0396907257827684 0.301301407229111 1.41839888796419 3.3319976961423 4.96283096974535 6.27923971080881 7.48606475640949 8.6452455523083 9.76119931388471
"2" 0.74714201360297 0 0 0 0 0 0 0 0 0 0 0
"3" 0 0.74714201360297 0 0 0 0 0 0 0 0 0 0
"4" 0 0 0.74714201360297 0 0 0 0 0 0 0 0 0
"5" 0 0 0 0.74714201360297 0 0 0 0 0 0 0 0
"6" 0 0 0 0 0.74714201360297 0 0 0 0 0 0 0
"7" 0 0 0 0 0 0.74714201360297 0 0 0 0 0 0
"8" 0 0 0 0 0 0 0.74714201360297 0 0 0 0 0
"9" 0 0 0 0 0 0 0 0.74714201360297 0 0 0 0
"10" 0 0 0 0 0 0 0 0 0.74714201360297 0 0 0
"11" 0 0 0 0 0 0 0 0 0 0.74714201360297 0 0
"12" 0 0 0 0 0 0 0 0 0 0 0.74714201360297 0
